Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 45-85+, Män, Diagnos:177 Prostata (blåshalskörtel), oavsett tumörtyp
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2015;Västmanlands län;21,23;44,69;151,13;589,51;948,37;1011,47;1079,21;806,45;671,27;516,62
2015;Dalarnas län;21,62;64,55;132,15;283,70;573,50;567,91;641,73;511,30;291,88;319,13
2015;Gävleborgs län;30,93;63,01;411,16;557,22;945,91;1264,09;1613,35;989,42;587,73;647,21
2015;Västernorrlands län;47,09;75,53;212,69;570,12;904,05;935,10;925,83;802,72;716,85;522,66
2015;Jämtlands län;47,16;168,53;170,57;301,62;669,84;994,09;671,00;920,81;356,13;434,99
2015;Västerbottens län;11,85;136,42;319,29;443,90;854,75;905,46;1021,30;841,15;532,90;503,22
2015;Norrbottens län;0,00;105,00;223,57;427,70;742,32;977,72;752,25;522,50;294,92;430,75
2014;Riket;21,82;131,69;323,53;651,09;1033,78;929,30;877,22;771,30;647,99;532,08
2014;Stockholms län;31,37;286,89;668,83;1307,17;2104,93;1155,51;884,38;773,16;668,25;817,60
2014;Uppsala län;43,03;38,27;288,97;604,97;622,76;867,26;677,13;591,44;797,53;428,00
2014;Södermanlands län;20,09;77,35;186,49;320,04;765,15;670,17;899,37;1076,59;752,73;431,52
2014;Östergötlands län;0,00;72,59;222,33;564,58;905,24;1046,77;1262,54;992,45;640,19;535,06
2014;Jönköpings län;8,14;91,05;247,32;580,42;809,00;863,40;883,84;811,26;547,27;466,11
2014;Kronobergs län;30,60;172,61;194,81;646,37;866,86;985,86;1020,25;1040,76;986,61;562,58
2014;Kalmar län;60,93;143,05;249,05;536,26;933,89;1111,84;942,80;694,01;477,33;546,47
2014;Gotlands län;50,66;0,00;98,50;432,90;552,61;523,56;1202,59;554,79;686,11;379,40
2014;Blekinge län;17,87;141,30;279,84;646,57;743,63;894,09;516,80;627,87;765,83;472,76
2014;Skåne län;31,45;107,57;252,60;527,63;910,43;840,53;739,44;627,38;397,39;448,91
2014;Hallands län;26,95;110,81;317,06;557,49;870,47;926,22;1096,96;732,09;762,63;523,49
2014;Västra Götalands län;8,70;61,48;217,43;444,88;675,99;745,69;830,32;746,99;612,27;396,69
2014;Värmlands län;10,15;143,68;391,13;548,04;900,53;951,53;1018,55;1052,92;880,63;568,41
2014;Örebro län;0,00;55,36;71,61;308,85;517,34;562,70;463,26;645,68;334,63;283,14
2014;Västmanlands län;10,43;92,96;266,09;511,61;855,05;1141,31;1082,13;975,93;1190,25;556,13
2014;Dalarnas län;21,14;43,99;260,95;381,54;734,26;520,57;590,36;684,93;555,37;381,39
