Dödsorsaksstatistik, Antal döda per 100 000, C61 Malign tumör i prostata, Ålder: 45-85+, Män
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2016;Jämtlands län;­­;­­;­­;23,28;22,29;149,78;413,99;1027,19;773,56;149,86
2016;Västerbottens län;­­;­­;­­;24,78;48,35;142,71;192,41;662,88;1012,76;122,00
2016;Norrbottens län;­­;­­;­­;­­;11,44;119,73;195,47;592,38;769,08;97,60
2015;Riket;0,30;2,18;8,22;17,17;58,26;111,32;242,40;467,19;1107,22;111,77
2015;Stockholms län;1,27;­­;9,67;16,69;58,29;108,28;201,45;489,80;1018,35;89,40
2015;Uppsala län;­­;­­;­­;20,76;66,95;83,63;271,08;430,70;1265,82;110,95
2015;Södermanlands län;­­;­­;34,72;­­;20,76;85,52;263,88;642,30;703,44;100,99
2015;Östergötlands län;­­;­­;7,59;7,90;52,05;178,60;243,69;537,36;968,30;119,24
2015;Jönköpings län;­­;17,61;­­;29,66;56,60;138,71;294,63;477,93;1391,16;143,26
2015;Kronobergs län;­­;­­;17,83;34,69;32,98;40,24;178,92;558,78;1308,41;126,63
2015;Kalmar län;­­;­­;­­;­­;34,66;96,22;283,72;368,95;950,99;106,37
2015;Gotlands län;­­;­­;­­;49,21;­­;275,10;­­;542,37;836,82;104,65
2015;Blekinge län;­­;­­;­­;­­;38,09;130,02;218,89;421,05;814,90;102,82
2015;Skåne län;­­;4,82;2,70;8,38;66,94;110,64;231,58;281,58;1091,22;102,39
2015;Hallands län;­­;­­;­­;10,82;50,23;154,03;229,72;469,94;1154,27;121,10
2015;Västra Götalands län;­­;1,86;8,16;25,96;56,23;92,46;243,80;451,62;1161,11;112,37
2015;Värmlands län;­­;­­;11,17;­­;41,50;116,41;187,46;761,28;1344,22;141,81
2015;Örebro län;­­;­­;11,88;­­;86,23;125,50;379,36;478,16;1367,58;140,07
2015;Västmanlands län;­­;11,17;25,19;52,40;81,96;113,97;305,44;419,35;1006,90;127,91
2015;Dalarnas län;­­;­­;22,03;10,51;86,03;94,65;110,01;457,48;1459,38;128,82
2015;Gävleborgs län;­­;­­;­­;32,78;78,83;131,18;352,34;604,64;1140,88;141,53
2015;Västernorrlands län;­­;12,59;12,51;12,39;80,11;83,74;301,90;463,11;1354,04;135,32
2015;Jämtlands län;­­;­­;­­;23,20;86,43;188,07;209,69;491,10;997,15;127,55
2015;Västerbottens län;­­;­­;­­;24,66;59,36;122,77;369,40;388,22;860,83;112,40
2015;Norrbottens län;­­;­­;11,77;23,12;22,49;69,84;197,96;609,58;758,37;96,27
2014;Riket;­­;2,26;12,73;25,46;60,49;131,87;246,78;504,08;1048,25;114,66
2014;Stockholms län;­­;4,28;8,22;24,21;57,09;116,77;244,78;439,15;909,37;87,80
2014;Uppsala län;­­;­­;9,96;20,51;84,92;142,39;246,23;529,18;1051,30;114,04
2014;Södermanlands län;­­;­­;34,97;11,43;51,01;52,56;279,80;553,68;1166,73;117,55
2014;Östergötlands län;­­;­­;7,67;7,73;58,88;237,90;322,65;516,90;1066,98;134,29
2014;Jönköpings län;­­;­­;9,51;9,84;46,49;172,68;342,71;583,09;1067,18;134,30
2014;Kronobergs län;­­;­­;­­;­­;81,78;171,45;123,67;563,75;845,67;113,46
2014;Kalmar län;­­;­­;­­;37,41;22,78;160,92;293,32;315,46;917,94;112,41
2014;Gotlands län;­­;­­;­­;­­;46,05;174,52;185,01;416,09;171,53;70,26
2014;Blekinge län;­­;­­;­­;20,86;37,18;137,55;96,90;289,79;1296,02;109,31
2014;Skåne län;­­;­­;8,15;27,62;63,52;104,64;211,27;657,26;1019,39;117,14
2014;Hallands län;­­;10,07;42,27;53,60;89,03;76,13;316,07;394,20;826,18;117,29
2014;Västra Götalands län;­­;1,92;10,26;25,67;64,08;120,63;236,66;519,39;1074,87;115,11
2014;Värmlands län;­­;­­;11,18;32,88;71,63;110,32;230,61;431,97;1141,55;124,29
2014;Örebro län;­­;­­;11,93;45,76;42,23;174,17;252,68;484,26;1189,81;127,41
2014;Västmanlands län;­­;­­;­­;12,79;57,77;150,17;324,64;520,49;1151,85;129,37
2014;Dalarnas län;­­;­­;21,75;72,18;56,48;190,45;228,53;520,55;1208,76;144,31
2014;Gävleborgs län;­­;­­;11,07;32,03;77,19;206,81;209,32;469,61;1057,08;127,53
2014;Västernorrlands län;­­;­­;49,38;­­;45,29;118,78;331,43;465,91;1328,77;135,91
2014;Jämtlands län;­­;­­;23,71;22,89;21,35;203,10;212,95;554,36;1585,01;150,69
2014;Västerbottens län;­­;­­;36,62;48,64;47,27;98,07;199,60;493,26;1037,13;114,76
2014;Norrbottens län;­­;23,67;11,65;­­;100,75;73,31;242,82;473,30;1133,14;116,18
2013;Riket;1,74;1,00;10,36;25,71;59,20;121,65;255,87;498,15;1075,54;113,72
2013;Stockholms län;1,25;1,49;11,75;24,14;45,62;108,26;238,66;502,32;900,46;86,92
2013;Uppsala län;­­;­­;9,96;20,01;85,39;98,33;261,75;528,20;1271,50;117,19
2013;Södermanlands län;­­;11,29;11,72;55,34;60,94;98,72;442,80;470,00;687,81;115,80
2013;Östergötlands län;­­;­­;7,72;7,57;66,13;193,34;306,68;598,25;1079,78;132,60
2013;Jönköpings län;­­;­­;19,04;9,70;46,90;170,27;356,17;580,08;1189,98;141,37
